sentence	pronoun	candidates	label	correct	right	left	split
Randy went to Nick's store, and looked at his groceries.	his	['Randy' 'Nick']	1	Nick groceries.	groceries.	Randy went to Nick's store, and looked at	train
Henry changed Jack's oil, because he gave him money.	he	['Henry' 'Jack']	1	Jack gave him money.	gave him money.	Henry changed Jack's oil, because	train
Henry changed Jack's oil, because he needed money.	he	['Henry' 'Jack']	0	Henry needed money.	needed money.	Henry changed Jack's oil, because	train
Bob cooked omelets for Jack, because he knew how.	he	['Bob' 'Jack']	0	Bob knew how.	knew how.	Bob cooked omelets for Jack, because	train
Bob cooked omelets for Jack, because he was hungry.	he	['Bob' 'Jack']	1	Jack was hungry.	was hungry.	Bob cooked omelets for Jack, because	train
John bought a beer for Bill because he likes cool guys.	he	['John' 'Bill']	0	John likes cool guys.	likes cool guys.	John bought a beer for Bill because	train
John bought a beer for Bill because he is cool.	he	['John' 'Bill']	1	Bill is cool.	is cool.	John bought a beer for Bill because	train
Gartok defeated Grognak because he was the stronger man.	he	['Gartok' 'Grognak']	0	Gartok was the stronger man.	was the stronger man.	Gartok defeated Grognak because	train
Gartok defeated Grognak because he was puny and weak.	he	['Gartok' 'Grognak']	1	Grognak was puny and weak.	was puny and weak.	Gartok defeated Grognak because	train
Shawn hit Joe but he did not scream.	he	['Shawn' 'Joe']	1	Joe did not scream.	did not scream.	Shawn hit Joe but	train
Shawn hit Joe but he did not apologize.	he	['Shawn' 'Joe']	0	Shawn did not apologize.	did not apologize.	Shawn hit Joe but	train
Katie accused Jane but she was not found guilty.	she	['Katie' 'Jane']	1	Jane was not found guilty.	was not found guilty.	Katie accused Jane but	train
Katie accused Jane but she felt badly about it.	she	['Katie' 'Jane']	0	Katie felt badly about it.	felt badly about it.	Katie accused Jane but	train
Sherry called Karla but she did not answer.	she	['Sherry' 'Karla']	1	Karla did not answer.	did not answer.	Sherry called Karla but	train
Sherry called Karla but she later regretted it.	she	['Sherry' 'Karla']	0	Sherry later regretted it.	later regretted it.	Sherry called Karla but	train
Steven assassinated the president because he was a too liberal.	he	['Steven' 'the president']	1	the president was a too liberal.	was a too liberal.	Steven assassinated the president because	train
Steven assassinated the president because he was paid to do it.	he	['Steven' 'the president']	0	Steven was paid to do it.	was paid to do it.	Steven assassinated the president because	train
The wolves ate the cows because they were hungry.	they	['The wolves' 'the cows']	0	The wolves were hungry.	were hungry.	The wolves ate the cows because	train
The wolves ate the cows because they were delicious.	they	['The wolves' 'the cows']	1	the cows were delicious.	were delicious.	The wolves ate the cows because	train
Michael backed Bill because John really liked him.	him	['Michael' 'Bill']	1	Bill .	.	Michael backed Bill because John really liked	train
Michael backed Bill because John asked him to.	him	['Michael' 'Bill']	0	Michael to.	to.	Michael backed Bill because John asked	train
Johnson wanted to make friendship with David, because he is well connected.	he	['Johnson' 'David']	1	David is well connected.	is well connected.	Johnson wanted to make friendship with David, because	train
Johnson wanted to make friendship with David, because he wanted help.	he	['Johnson' 'David']	0	Johnson wanted help.	wanted help.	Johnson wanted to make friendship with David, because	train
The company declared bonus for the employees because they made huge profits.	they	['The company' 'the employees']	0	The company made huge profits.	made huge profits.	The company declared bonus for the employees because	train
The company declared bonus for the employees because they worked hard.	they	['The company' 'the employees']	1	the employees worked hard.	worked hard.	The company declared bonus for the employees because	train
The school denied parents parking permits because they did not want the parking lots to be over crowded with cars.	they	['The school' 'parents']	0	The school did not want the parking lots to be over crowded with cars.	did not want the parking lots to be over crowded with cars.	The school denied parents parking permits because	train
The school denied parents parking permits because they violated parking rules.	they	['The school' 'parents']	1	parents violated parking rules.	violated parking rules.	The school denied parents parking permits because	train
Joe slapped Jose in the face because he cussed him out.	he	['Joe' 'Jose']	1	Jose cussed him out.	cussed him out.	Joe slapped Jose in the face because	train
Joe slapped Jose in the face because he was angry.	he	['Joe' 'Jose']	0	Joe was angry.	was angry.	Joe slapped Jose in the face because	train
Stephanie gave Brandy flowers because she had a lot of them.	she	['Stephanie' 'Brandy']	0	Stephanie had a lot of them.	had a lot of them.	Stephanie gave Brandy flowers because	train
Stephanie gave Brandy flowers because she was sick.	she	['Stephanie' 'Brandy']	1	Brandy was sick.	was sick.	Stephanie gave Brandy flowers because	train
The team decided to cancel their relations with AT&T Corporate because they ran out of money.	they	['The team' 'AT&T Corporate']	0	The team ran out of money.	ran out of money.	The team decided to cancel their relations with AT&T Corporate because	train
The team decided to cancel their relations with AT&T Corporate because they are arrogant.	they	['The team' 'AT&T Corporate']	1	ATT Corporate are arrogant.	are arrogant.	The team decided to cancel their relations with AT&T Corporate because	train
John chose Bill because he was choosing.	he	['John' 'Bill']	0	John was choosing.	was choosing.	John chose Bill because	train
John chose Bill because he was the best choice.	he	['John' 'Bill']	1	Bill was the best choice.	was the best choice.	John chose Bill because	train
John thanked Bill because he had needed help.	he	['John' 'Bill']	0	John had needed help.	had needed help.	John thanked Bill because	train
John thanked Bill because he was helpful.	he	['John' 'Bill']	1	Bill was helpful.	was helpful.	John thanked Bill because	train
John ridiculed Bill because he liked to look down upon others.	he	['John' 'Bill']	0	John liked to look down upon others.	liked to look down upon others.	John ridiculed Bill because	train
John ridiculed Bill because he acted like a fool.	he	['John' 'Bill']	1	Bill acted like a fool.	acted like a fool.	John ridiculed Bill because	train
John disliked Bill and he did not pick him.	he	['John' 'Bill']	0	John did not pick him.	did not pick him.	John disliked Bill and	train
John disliked Bill, but he did not know.	he	['John' 'Bill']	1	Bill did not know.	did not know.	John disliked Bill, but	train
Godzilla will stomp all over Tokyo if it rises from the ocean.	it	['Godzilla' 'Tokyo']	0	Godzilla rises from the ocean.	rises from the ocean.	Godzilla will stomp all over Tokyo if	train
Godzilla will stomp all over Tokyo if it does not build better defenses.	it	['Godzilla' 'Tokyo']	1	Tokyo does not build better defenses.	does not build better defenses.	Godzilla will stomp all over Tokyo if	train
The grandmother threw her granddaughter to her death because she felt jealous.	she	['The grandmother' 'her granddaughter']	0	The grandmother felt jealous.	felt jealous.	The grandmother threw her granddaughter to her death because	train
The grandmother threw her granddaughter to her death because she would not stop screaming.	she	['The grandmother' 'her granddaughter']	1	her granddaughter would not stop screaming.	would not stop screaming.	The grandmother threw her granddaughter to her death because	train
Bob Marley shot the sheriff, but he swears it was in self-defense.	he	['Bob Marley' 'the sheriff']	0	Bob Marley swears it was in self-defense.	swears it was in self-defense.	Bob Marley shot the sheriff, but	train
Bob Marley shot the sheriff, but he survived.	he	['Bob Marley' 'the sheriff']	1	the sheriff survived.	survived.	Bob Marley shot the sheriff, but	train
The mother punishes the daughter because she was disobedient.	she	['The mother' 'the daughter']	1	the daughter was disobedient.	was disobedient.	The mother punishes the daughter because	train
The mother punished the daughter because she was provoked.	she	['The mother' 'the daughter']	0	The mother was provoked.	was provoked.	The mother punished the daughter because	train
The teachers failed the students because they answered the test incorrectly.	they	['The teachers' 'the students']	1	the students answered the test incorrectly.	answered the test incorrectly.	The teachers failed the students because	train
The teachers failed the students because they graded the test incorrectly.	they	['The teachers' 'the students']	0	The teachers graded the test incorrectly.	graded the test incorrectly.	The teachers failed the students because	train
The river destroyed the bridge because it was high.	it	['The river' 'the bridge']	0	The river was high.	was high.	The river destroyed the bridge because	train
The river destroyed the bridge because it was low.	it	['The river' 'the bridge']	1	the bridge was low.	was low.	The river destroyed the bridge because	train
The army crossed the river because it was shallow.	it	['The army' 'the river']	1	the river was shallow.	was shallow.	The army crossed the river because	train
The army crossed the river because it was retreating.	it	['The army' 'the river']	0	The army was retreating.	was retreating.	The army crossed the river because	train
